A,B,C,D,nshell,x,y
0.1,0.7,0.1,0.1,1,2.5,0.259808
0.1,0.6,0.2,0.1,1,2.55,0.173205
0.1,0.5,0.3,0.1,1,2.6,0.086603
0.1,0.4,0.4,0.1,1,2.65,0
0.1,0.3,0.5,0.1,1,2.7,-0.086603
0.1,0.2,0.6,0.1,1,2.75,-0.173205
0.1,0.1,0.7,0.1,1,2.8,-0.259808
0.1,0.6,0.1,0.2,1,2.6,0.259808
0.1,0.5,0.2,0.2,1,2.65,0.173205
0.1,0.4,0.3,0.2,1,2.7,0.086603
0.1,0.3,0.4,0.2,1,2.75,0
0.1,0.2,0.5,0.2,1,2.8,-0.086603
0.1,0.1,0.6,0.2,1,2.85,-0.173205
0.1,0.5,0.1,0.3,1,2.7,0.259808
0.1,0.4,0.2,0.3,1,2.75,0.173205
0.1,0.3,0.3,0.3,1,2.8,0.086603
0.1,0.2,0.4,0.3,1,2.85,0
0.1,0.1,0.5,0.3,1,2.9,-0.086603
0.1,0.4,0.1,0.4,1,2.8,0.259808
0.1,0.3,0.2,0.4,1,2.85,0.173205
0.1,0.2,0.3,0.4,1,2.9,0.086603
0.1,0.1,0.4,0.4,1,2.95,0
0.1,0.3,0.1,0.5,1,2.9,0.259808
0.1,0.2,0.2,0.5,1,2.95,0.173205
0.1,0.1,0.3,0.5,1,3,0.086603
0.1,0.2,0.1,0.6,1,3,0.259808
0.1,0.1,0.2,0.6,1,3.05,0.173205
0.1,0.1,0.1,0.7,1,3.1,0.259808
0.7,0.1,0.1,0.1,1,3.4,-0.259808
0.6,0.1,0.2,0.1,1,3.3,-0.259808
0.5,0.1,0.3,0.1,1,3.2,-0.259808
0.4,0.1,0.4,0.1,1,3.1,-0.259808
0.3,0.1,0.5,0.1,1,3,-0.259808
0.2,0.1,0.6,0.1,1,2.9,-0.259808
0.1,0.1,0.7,0.1,1,2.8,-0.259808
0.6,0.1,0.1,0.2,1,3.35,-0.173205
0.5,0.1,0.2,0.2,1,3.25,-0.173205
0.4,0.1,0.3,0.2,1,3.15,-0.173205
0.3,0.1,0.4,0.2,1,3.05,-0.173205
0.2,0.1,0.5,0.2,1,2.95,-0.173205
0.1,0.1,0.6,0.2,1,2.85,-0.173205
0.5,0.1,0.1,0.3,1,3.3,-0.086603
0.4,0.1,0.2,0.3,1,3.2,-0.086603
0.3,0.1,0.3,0.3,1,3.1,-0.086603
0.2,0.1,0.4,0.3,1,3,-0.086603
0.1,0.1,0.5,0.3,1,2.9,-0.086603
0.4,0.1,0.1,0.4,1,3.25,0
0.3,0.1,0.2,0.4,1,3.15,0
0.2,0.1,0.3,0.4,1,3.05,0
0.1,0.1,0.4,0.4,1,2.95,0
0.3,0.1,0.1,0.5,1,3.2,0.086603
0.2,0.1,0.2,0.5,1,3.1,0.086603
0.1,0.1,0.3,0.5,1,3,0.086603
0.2,0.1,0.1,0.6,1,3.15,0.173205
0.1,0.1,0.2,0.6,1,3.05,0.173205
0.1,0.1,0.1,0.7,1,3.1,0.259808
0.7,0.1,0.1,0.1,1,3.4,-0.259808
0.6,0.2,0.1,0.1,1,3.45,-0.173205
0.5,0.3,0.1,0.1,1,3.5,-0.086603
0.4,0.4,0.1,0.1,1,3.55,0
0.3,0.5,0.1,0.1,1,3.6,0.086603
0.2,0.6,0.1,0.1,1,3.65,0.173205
0.1,0.7,0.1,0.1,1,3.7,0.259808
0.6,0.1,0.1,0.2,1,3.35,-0.173205
0.5,0.2,0.1,0.2,1,3.4,-0.086603
0.4,0.3,0.1,0.2,1,3.45,0
0.3,0.4,0.1,0.2,1,3.5,0.086603
0.2,0.5,0.1,0.2,1,3.55,0.173205
0.1,0.6,0.1,0.2,1,3.6,0.259808
0.5,0.1,0.1,0.3,1,3.3,-0.086603
0.4,0.2,0.1,0.3,1,3.35,0
0.3,0.3,0.1,0.3,1,3.4,0.086603
0.2,0.4,0.1,0.3,1,3.45,0.173205
0.1,0.5,0.1,0.3,1,3.5,0.259808
0.4,0.1,0.1,0.4,1,3.25,0
0.3,0.2,0.1,0.4,1,3.3,0.086603
0.2,0.3,0.1,0.4,1,3.35,0.173205
0.1,0.4,0.1,0.4,1,3.4,0.259808
0.3,0.1,0.1,0.5,1,3.2,0.086603
0.2,0.2,0.1,0.5,1,3.25,0.173205
0.1,0.3,0.1,0.5,1,3.3,0.259808
0.2,0.1,0.1,0.6,1,3.15,0.173205
0.1,0.2,0.1,0.6,1,3.2,0.259808
0.1,0.1,0.1,0.7,1,3.1,0.259808
0.7,0.1,0.1,0.1,1,2.2,-0.259808
0.6,0.2,0.1,0.1,1,2.25,-0.173205
0.6,0.1,0.2,0.1,1,2.3,-0.259808
0.5,0.3,0.1,0.1,1,2.3,-0.086603
0.5,0.2,0.2,0.1,1,2.35,-0.173205
0.5,0.1,0.3,0.1,1,2.4,-0.259808
0.4,0.4,0.1,0.1,1,2.35,0
0.4,0.3,0.2,0.1,1,2.4,-0.086603
0.4,0.2,0.3,0.1,1,2.45,-0.173205
0.4,0.1,0.4,0.1,1,2.5,-0.259808
0.3,0.5,0.1,0.1,1,2.4,0.086603
0.3,0.4,0.2,0.1,1,2.45,0
0.3,0.3,0.3,0.1,1,2.5,-0.086603
0.3,0.2,0.4,0.1,1,2.55,-0.173205
0.3,0.1,0.5,0.1,1,2.6,-0.259808
0.2,0.6,0.1,0.1,1,2.45,0.173205
0.2,0.5,0.2,0.1,1,2.5,0.086603
0.2,0.4,0.3,0.1,1,2.55,0
0.2,0.3,0.4,0.1,1,2.6,-0.086603
0.2,0.2,0.5,0.1,1,2.65,-0.173205
0.2,0.1,0.6,0.1,1,2.7,-0.259808
0.1,0.7,0.1,0.1,1,2.5,0.259808
0.1,0.6,0.2,0.1,1,2.55,0.173205
0.1,0.5,0.3,0.1,1,2.6,0.086603
0.1,0.4,0.4,0.1,1,2.65,0
0.1,0.3,0.5,0.1,1,2.7,-0.086603
0.1,0.2,0.6,0.1,1,2.75,-0.173205
0.1,0.1,0.7,0.1,1,2.8,-0.259808
0.2,0.4,0.2,0.2,2,3.7,0.086603
0.2,0.3,0.3,0.2,2,3.75,0
0.2,0.2,0.4,0.2,2,3.8,-0.086603
0.2,0.3,0.2,0.3,2,3.8,0.086603
0.2,0.2,0.3,0.3,2,3.85,0
0.2,0.2,0.2,0.4,2,3.9,0.086603
0.4,0.2,0.2,0.2,2,4,-0.086603
0.3,0.2,0.3,0.2,2,3.9,-0.086603
0.2,0.2,0.4,0.2,2,3.8,-0.086603
0.3,0.2,0.2,0.3,2,3.95,0
0.2,0.2,0.3,0.3,2,3.85,0
0.2,0.2,0.2,0.4,2,3.9,0.086603
0.4,0.2,0.2,0.2,2,4,-0.086603
0.3,0.3,0.2,0.2,2,4.05,0
0.2,0.4,0.2,0.2,2,4.1,0.086603
0.3,0.2,0.2,0.3,2,3.95,0
0.2,0.3,0.2,0.3,2,4,0.086603
0.2,0.2,0.2,0.4,2,3.9,0.086603
0.4,0.2,0.2,0.2,2,3.6,-0.086603
0.3,0.3,0.2,0.2,2,3.65,0
0.3,0.2,0.3,0.2,2,3.7,-0.086603
