A,B,C,D,nshell,x,y
0.8,0.1,0.1,0,0,0.15,-0.34641
0.7,0.2,0.1,0,0,0.2,-0.259808
0.7,0.1,0.2,0,0,0.25,-0.34641
0.6,0.3,0.1,0,0,0.25,-0.173205
0.6,0.2,0.2,0,0,0.3,-0.259808
0.6,0.1,0.3,0,0,0.35,-0.34641
0.5,0.4,0.1,0,0,0.3,-0.086603
0.5,0.3,0.2,0,0,0.35,-0.173205
0.5,0.2,0.3,0,0,0.4,-0.259808
0.5,0.1,0.4,0,0,0.45,-0.34641
0.4,0.5,0.1,0,0,0.35,0
0.4,0.4,0.2,0,0,0.4,-0.086603
0.4,0.3,0.3,0,0,0.45,-0.173205
0.4,0.2,0.4,0,0,0.5,-0.259808
0.4,0.1,0.5,0,0,0.55,-0.34641
0.3,0.6,0.1,0,0,0.4,0.086603
0.3,0.5,0.2,0,0,0.45,0
0.3,0.4,0.3,0,0,0.5,-0.086603
0.3,0.3,0.4,0,0,0.55,-0.173205
0.3,0.2,0.5,0,0,0.6,-0.259808
0.3,0.1,0.6,0,0,0.65,-0.34641
0.2,0.7,0.1,0,0,0.45,0.173205
0.2,0.6,0.2,0,0,0.5,0.086603
0.2,0.5,0.3,0,0,0.55,0
0.2,0.4,0.4,0,0,0.6,-0.086603
0.2,0.3,0.5,0,0,0.65,-0.173205
0.2,0.2,0.6,0,0,0.7,-0.259808
0.2,0.1,0.7,0,0,0.75,-0.34641
0.1,0.8,0.1,0,0,0.5,0.259808
0.1,0.7,0.2,0,0,0.55,0.173205
0.1,0.6,0.3,0,0,0.6,0.086603
0.1,0.5,0.4,0,0,0.65,0
0.1,0.4,0.5,0,0,0.7,-0.086603
0.1,0.3,0.6,0,0,0.75,-0.173205
0.1,0.2,0.7,0,0,0.8,-0.259808
0.1,0.1,0.8,0,0,0.85,-0.34641
