x,y,lab
0.25000,4.50000,Mn
0.25000,4.25000,Ni
0.25000,4.00000,Ca
0.25000,3.75000,Y
0.25000,3.50000,In
0.25000,3.25000,La
0.77000,4.50000,Mn
1.08000,4.50000,Ni
0.77000,4.25000,Mn
1.08000,4.25000,Ca
0.77000,4.00000,Mn
1.08000,4.00000,Y
0.77000,3.75000,Mn
1.08000,3.75000,In
0.77000,3.50000,Mn
1.08000,3.50000,La
0.77000,3.25000,Ni
1.08000,3.25000,Ca
0.77000,3.00000,Ni
1.08000,3.00000,Y
0.77000,2.75000,Ni
1.08000,2.75000,In
0.77000,2.50000,Ni
1.08000,2.50000,La
0.77000,2.25000,Ca
1.08000,2.25000,Y
0.77000,2.00000,Ca
1.08000,2.00000,In
0.77000,1.75000,Ca
1.08000,1.75000,La
0.77000,1.50000,Y
1.08000,1.50000,In
0.77000,1.25000,Y
1.08000,1.25000,La
0.77000,1.00000,In
1.08000,1.00000,La
2.35000,4.42000,Mn
2.50500,4.68040,Ni
2.66000,4.42000,Ca
2.35000,3.47000,Mn
2.50500,3.73040,Ni
2.66000,3.47000,Y
2.35000,2.52000,Mn
2.50500,2.78040,Ni
2.66000,2.52000,In
2.35000,1.57000,Mn
2.50500,1.83040,Ni
2.66000,1.57000,La
2.35000,0.62000,Mn
2.50500,0.88040,Ca
2.66000,0.62000,Y
3.45000,4.42000,Mn
3.60500,4.68040,Ca
3.76000,4.42000,In
3.45000,3.47000,Mn
3.60500,3.73040,Ca
3.76000,3.47000,La
3.45000,2.52000,Mn
3.60500,2.78040,Y
3.76000,2.52000,In
3.45000,1.57000,Mn
3.60500,1.83040,Y
3.76000,1.57000,La
3.45000,0.62000,Mn
3.60500,0.88040,In
3.76000,0.62000,La
4.55000,4.42000,Ni
4.70500,4.68040,Ca
4.86000,4.42000,Y
4.55000,3.47000,Ni
4.70500,3.73040,Ca
4.86000,3.47000,In
4.55000,2.52000,Ni
4.70500,2.78040,Ca
4.86000,2.52000,La
4.55000,1.57000,Ni
4.70500,1.83040,Y
4.86000,1.57000,In
4.55000,0.62000,Ni
4.70500,0.88040,Y
4.86000,0.62000,La
5.65000,4.42000,Ni
5.80500,4.68040,In
5.96000,4.42000,La
5.65000,3.47000,Ca
5.80500,3.73040,Y
5.96000,3.47000,In
5.65000,2.52000,Ca
5.80500,2.78040,Y
5.96000,2.52000,La
5.65000,1.57000,Ca
5.80500,1.83040,In
5.96000,1.57000,La
5.65000,0.62000,Y
5.80500,0.88040,In
5.96000,0.62000,La
6.85000,4.42000,Mn
7.00500,4.68040,Ni
7.16000,4.42000,Ca
7.31500,4.68040,Y
6.85000,3.47000,Mn
7.00500,3.73040,Ni
7.16000,3.47000,Ca
7.31500,3.73040,In
6.85000,2.52000,Mn
7.00500,2.78040,Ni
7.16000,2.52000,Ca
7.31500,2.78040,La
6.85000,1.57000,Mn
7.00500,1.83040,Ni
7.16000,1.57000,Y
7.31500,1.83040,In
6.85000,0.62000,Mn
7.00500,0.88040,Ni
7.16000,0.62000,Y
7.31500,0.88040,La
9.25000,4.42000,Mn
9.40500,4.68040,Ni
9.56000,4.42000,In
9.71500,4.68040,La
9.25000,3.47000,Mn
9.40500,3.73040,Ca
9.56000,3.47000,Y
9.71500,3.73040,In
9.25000,2.52000,Mn
9.40500,2.78040,Ca
9.56000,2.52000,Y
9.71500,2.78040,La
9.25000,1.57000,Mn
9.40500,1.83040,Ca
9.56000,1.57000,In
9.71500,1.83040,La
9.25000,0.62000,Mn
9.40500,0.88040,Y
9.56000,0.62000,In
9.71500,0.88040,La
11.65000,4.42000,Ni
11.80500,4.68040,Ca
11.96000,4.42000,Y
12.11500,4.68040,In
11.65000,3.47000,Ni
11.80500,3.73040,Ca
11.96000,3.47000,Y
12.11500,3.73040,La
11.65000,2.52000,Ni
11.80500,2.78040,Ca
11.96000,2.52000,In
12.11500,2.78040,La
11.65000,1.57000,Ni
11.80500,1.83040,Y
11.96000,1.57000,In
12.11500,1.83040,La
11.65000,0.62000,Ca
11.80500,0.88040,Y
11.96000,0.62000,In
12.11500,0.88040,La
